,Player,College_Season,Offensive_Win_Shares,Defensive_Win_Shares,Win_Shares,Win_Shares_Per_40
0,Andrew Bogut,Career,7.7,7.7,17.1,.307
1,Marvin Williams,Career,2.1,2.1,4.8,.239
2,Deron Williams,Career,6.3,6.3,10.7,.133
3,Chris Paul,Career,3.1,3.1,9.4,.178
4,Raymond Felton,Career,5.7,5.7,11.3,.132
5,Charlie Villanueva,Career,4.8,4.8,8.4,.238
6,Channing Frye,Career,10.9,10.9,21.2,.230
7,Ike Diogu,Career,5.5,5.5,20.5,.257
8,Sean May,Career,7.0,7.0,12.2,.229
9,Rashad McCants,Career,4.9,4.9,14.8,.207
10,Antoine Wright,Career,4.6,4.6,8.5,.121
11,Joey Graham,,3.3,3.3,10.6,.227
12,Danny Granger,,4.7,4.7,11.8,.295
13,Hakim Warrick,Career,10.0,10.0,20.9,.199
14,Julius Hodge,Career,7.5,7.5,18.7,.176
15,Nate Robinson,Career,3.4,3.4,9.3,.149
16,Jarrett Jack,Career,6.1,6.1,14.2,.175
17,Francisco García,Career,9.6,9.6,18.0,.261
18,Luther Head,Career,6.3,6.3,15.1,.186
19,Jason Maxiell,Career,15.7,15.7,22.4,.251
20,Linas Kleiza,Career,2.0,2.0,3.8,.109
21,Wayne Simien,Career,7.2,7.2,17.6,.249
22,Daniel Ewing,Career,6.4,6.4,13.5,.141
23,Brandon Bass,Career,3.9,3.9,10.0,.198
24,Ronny Turiaf,Career,9.0,9.0,18.7,.231
25,Travis Diener,Career,5.4,5.4,16.0,.170
26,Von Wafer,Career,1.2,1.2,3.3,.101
27,Chris Taft,Career,6.9,6.9,11.4,.269
28,Bracey Wright,Career,4.0,4.0,10.3,.136
29,Ryan Gomes,Career,7.5,7.5,20.5,.202
30,Robert Whaley,Career,0.7,0.7,0.1,.010
31,Orien Greene,,2.9,2.9,4.6,.149
32,Dijon Thompson,Career,3.2,3.2,9.7,.119
33,Lawrence Roberts,,6.3,6.3,10.6,.212
34,Alex Acker,Career,3.1,3.1,9.0,.119
35,LaMarcus Aldridge,Career,6.5,6.5,11.2,.280
36,Adam Morrison,Career,3.6,3.6,14.1,.193
37,Tyrus Thomas,Career,4.3,4.3,7.3,.351
38,Shelden Williams,Career,16.8,16.8,29.2,.299
39,Brandon Roy,Career,5.5,5.5,13.3,.188
40,Randy Foye,Career,8.5,8.5,13.2,.129
41,Rudy Gay,Career,5.9,5.9,9.1,.191
42,Hilton Armstrong,Career,6.9,6.9,10.1,.203
43,Ronnie Brewer,Career,7.4,7.4,13.6,.184
44,Cedric Simmons,Career,2.8,2.8,5.9,.197
45,Rodney Carney,Career,9.6,9.6,16.4,.179
46,Shawne Williams,Career,3.7,3.7,5.3,.213
47,Quincy Douby,Career,4.6,4.6,13.3,.175
48,Renaldo Balkman,Career,7.4,7.4,11.7,.213
49,Rajon Rondo,Career,5.1,5.1,7.8,.163
50,Josh Boone,Career,9.1,9.1,14.2,.213
51,Kyle Lowry,Career,4.4,4.4,6.5,.171
52,Shannon Brown,Career,2.8,2.8,8.7,.128
53,Jordan Farmar,Career,3.2,3.2,6.5,.122
54,Maurice Ager,Career,3.4,3.4,11.2,.141
55,Mardy Collins,Career,11.8,11.8,13.2,.113
56,James White,,6.5,6.5,12.3,.181
57,Steve Novak,Career,3.2,3.2,16.3,.191
58,Solomon Jones,Career,3.8,3.8,6.5,.142
59,Paul Davis,Career,7.1,7.1,17.8,.213
60,Craig Smith,Career,10.2,10.2,23.4,.212
61,David Noel,Career,5.6,5.6,10.5,.142
62,James Augustine,Career,15.0,15.0,26.2,.282
63,Daniel Gibson,Career,4.4,4.4,9.3,.165
64,Alexander Johnson,Career,4.3,4.3,9.0,.186
65,Paul Millsap,Career,13.7,13.7,24.6,.304
66,Leon Powe,Career,3.8,3.8,8.2,.186
67,Ryan Hollins,Career,4.0,4.0,7.9,.139
68,Guillermo Díaz,Career,4.0,4.0,11.2,.148
69,Hassan Adams,Career,8.4,8.4,15.2,.168
70,Will Blalock,Career,4.5,4.5,7.3,.092
71,Greg Oden,Career,4.6,4.6,8.2,.355
72,Kevin Durant,Career,4.1,4.1,8.8,.280
73,Al Horford,Career,10.0,10.0,17.1,.244
74,Mike Conley,Career,3.4,3.4,6.1,.199
75,Jeff Green,Career,7.2,7.2,14.7,.174
76,Corey Brewer,Career,6.6,6.6,13.0,.177
77,Brandan Wright,Career,4.0,4.0,7.6,.301
78,Joakim Noah,Career,9.0,9.0,17.7,.310
79,Spencer Hawes,Career,2.4,2.4,4.4,.198
80,Acie Law,Career,5.7,5.7,13.6,.145
81,Thaddeus Young,Career,1.5,1.5,3.3,.145
82,Julian Wright,Career,7.1,7.1,10.8,.252
83,Al Thornton,Career,4.6,4.6,13.6,.199
84,Rodney Stuckey,Career,1.1,1.1,8.3,.170
85,Nick Young,Career,3.7,3.7,10.9,.146
86,Sean Williams,Career,5.4,5.4,7.6,.216
87,Javaris Crittenton,Career,1.7,1.7,3.6,.145
88,Jason Smith,Career,2.4,2.4,10.5,.172
89,Daequan Cook,Career,1.9,1.9,3.5,.180
90,Jared Dudley,Career,8.1,8.1,21.0,.178
91,Wilson Chandler,Career,3.9,3.9,5.5,.119
92,Morris Almond,Career,3.2,3.2,14.7,.180
93,Aaron Brooks,Career,4.5,4.5,12.2,.129
94,Arron Afflalo,Career,4.1,4.1,13.8,.162
95,Alando Tucker,Career,9.2,9.2,18.4,.172
96,Carl Landry,Career,4.3,4.3,14.0,.293
97,Gabe Pruitt,Career,3.6,3.6,10.0,.154
98,Nick Fazekas,Career,13.4,13.4,30.2,.306
99,Glen Davis,Career,8.2,8.2,15.3,.202
100,Jermareo Davidson,Career,8.0,8.0,11.5,.128
101,Josh McRoberts,Career,6.2,6.2,10.3,.201
102,Derrick Byars,,2.3,2.3,7.7,.154
103,Stéphane Lasme,Career,9.2,9.2,16.0,.224
104,Dominic McGuire,,4.4,4.4,5.8,.219
105,Aaron Gray,Career,9.4,9.4,15.0,.254
106,Taurean Green,Career,4.1,4.1,11.5,.142
107,Demetris Nichols,Career,5.8,5.8,11.0,.139
108,Ramon Sessions,Career,5.9,5.9,7.2,.102
109,Derrick Rose,Career,3.8,3.8,6.6,.226
110,Michael Beasley,Career,5.4,5.4,10.7,.413
111,Russell Westbrook,Career,3.9,3.9,6.2,.150
112,Kevin Love,Career,5.7,5.7,11.3,.391
113,Eric Gordon,Career,1.8,1.8,6.0,.217
114,Joe Alexander,Career,6.6,6.6,9.5,.183
115,Brook Lopez,Career,5.0,5.0,7.9,.213
116,Jason Thompson,Career,6.9,6.9,16.8,.171
117,Brandon Rush,Career,8.1,8.1,14.9,.174
118,Anthony Randolph,Career,2.3,2.3,3.5,.136
119,Robin Lopez,Career,6.0,6.0,8.2,.201
120,Marreese Speights,Career,3.9,3.9,8.9,.333
121,Roy Hibbert,Career,10.3,10.3,22.0,.278
122,JaVale McGee,Career,3.2,3.2,5.6,.183
123,Ryan Anderson,Career,2.7,2.7,10.2,.188
124,Courtney Lee,Career,7.5,7.5,18.7,.189
125,Kosta Koufos,Career,2.9,2.9,5.3,.211
126,George Hill,Career,5.1,5.1,17.1,.217
127,Darrell Arthur,Career,6.5,6.5,10.6,.247
128,Donté Greene,Career,2.0,2.0,3.9,.124
129,Walter Sharpe,,1.2,1.2,1.7,.228
130,Joey Dorsey,Career,18.9,18.9,23.8,.295
131,Mario Chalmers,Career,9.0,9.0,18.5,.236
132,DeAndre Jordan,Career,2.8,2.8,4.4,.249
133,Kyle Weaver,Career,10.5,10.5,15.9,.177
134,Sonny Weems,Career,3.2,3.2,7.4,.138
135,Chris Douglas-Roberts,Career,7.4,7.4,17.4,.245
136,Sean Singletary,Career,5.9,5.9,14.4,.143
137,Malik Hairston,Career,5.2,5.2,14.2,.155
138,Darnell Jackson,Career,6.3,6.3,11.9,.229
139,Mike Taylor,Career,1.6,1.6,2.5,.092
140,Sasha Kaun,Career,7.9,7.9,11.8,.212
141,Joe Crawford,Career,3.3,3.3,9.1,.114
142,Blake Griffin,Career,6.3,6.3,15.2,.290
143,Hasheem Thabeet,Career,12.8,12.8,19.9,.272
144,James Harden,Career,3.8,3.8,13.8,.230
145,Tyreke Evans,Career,4.8,4.8,7.2,.268
146,Jonny Flynn,Career,2.7,2.7,8.6,.129
147,Stephen Curry,Career,9.3,9.3,27.3,.322
148,Jordan Hill,Career,5.0,5.0,12.1,.185
149,DeMar DeRozan,Career,1.7,1.7,4.1,.140
150,Terrence Williams,Career,13.5,13.5,15.3,.136
151,Tyler Hansbrough,Career,11.3,11.3,28.5,.260
152,Earl Clark,Career,9.8,9.8,13.4,.193
153,Austin Daye,Career,6.2,6.2,10.3,.274
154,James Johnson,Career,6.1,6.1,14.2,.133
155,Jrue Holiday,Career,2.1,2.1,3.3,.138
156,Ty Lawson,Career,6.7,6.7,15.7,.221
157,Eric Maynor,Career,7.9,7.9,17.7,.177
158,Darren Collison,Career,8.2,8.2,19.1,.184
159,Taj Gibson,Career,10.1,10.1,18.5,.215
160,DeMarre Carroll,,5.9,5.9,11.3,.241
161,Wayne Ellington,Career,5.4,5.4,13.5,.164
162,Toney Douglas,,4.2,4.2,12.7,.152
163,Jermaine Taylor,Career,4.1,4.1,14.6,.186
164,Dante Cunningham,Career,10.5,10.5,16.7,.177
165,DaJuan Summers,Career,5.0,5.0,10.9,.157
166,Sam Young,Career,10.5,10.5,19.7,.216
167,DeJuan Blair,Career,9.6,9.6,15.0,.314
168,Jon Brockman,Career,8.7,8.7,16.2,.172
169,Derrick Brown,Career,6.6,6.6,15.3,.231
170,Jodie Meeks,Career,2.1,2.1,9.9,.176
171,Patrick Beverley,Career,3.9,3.9,8.2,.138
172,Chase Budinger,Career,3.8,3.8,13.0,.147
173,Nick Calathes,Career,4.6,4.6,10.9,.184
174,Danny Green,Career,10.4,10.4,16.8,.233
175,Taylor Griffin,Career,7.7,7.7,10.7,.149
176,Lester Hudson,Career,5.4,5.4,14.5,.244
177,John Wall,Career,2.6,2.6,6.3,.196
178,Evan Turner,Career,6.8,6.8,16.1,.194
179,Derrick Favors,Career,2.5,2.5,4.8,.195
180,Wesley Johnson,Career,0.5,0.5,0.9,.082
181,DeMarcus Cousins,Career,2.7,2.7,6.5,.290
182,Ekpe Udoh,,2.6,2.6,6.1,.192
183,Greg Monroe,Career,4.5,4.5,10.5,.198
184,Al-Farouq Aminu,Career,4.4,4.4,8.3,.179
185,Gordon Hayward,Career,6.3,6.3,14.2,.249
186,Paul George,Career,3.0,3.0,8.3,.155
187,Cole Aldrich,Career,9.0,9.0,16.5,.282
188,Xavier Henry,Career,2.1,2.1,4.9,.197
189,Ed Davis,Career,4.6,4.6,7.2,.212
190,Patrick Patterson,Career,5.7,5.7,17.7,.215
191,Larry Sanders,Career,10.0,10.0,14.6,.246
192,Luke Babbitt,Career,3.6,3.6,12.0,.202
193,Eric Bledsoe,Career,2.1,2.1,3.5,.126
194,Avery Bradley,Career,1.6,1.6,3.2,.127
195,James Anderson,Career,1.4,1.4,1.7,.126
196,Craig Brackins,Career,5.0,5.0,10.5,.137
197,Elliot Williams,,1.5,1.5,5.6,.197
198,Trevor Booker,Career,13.3,13.3,23.8,.250
199,Damion James,Career,12.8,12.8,20.7,.199
200,Dominique Jones,Career,5.4,5.4,14.5,.168
201,Quincy Pondexter,Career,6.7,6.7,16.4,.176
202,Jordan Crawford,,1.8,1.8,5.9,.207
203,Greivis Vásquez,Career,7.9,7.9,17.4,.153
204,Daniel Orton,Career,1.3,1.3,1.7,.135
205,Lazar Hayward,Career,8.3,8.3,17.0,.186
206,Dexter Pittman,Career,5.1,5.1,10.8,.266
207,Hassan Whiteside,Career,2.5,2.5,4.5,.200
208,Armon Johnson,Career,3.3,3.3,9.3,.112
209,Darington Hobson,Career,2.2,2.2,5.2,.178
210,Andy Rautins,Career,4.8,4.8,10.2,.132
211,Landry Fields,Career,5.4,5.4,11.8,.155
212,Lance Stephenson,Career,1.3,1.3,2.8,.116
213,Jarvis Varnado,Career,12.6,12.6,21.2,.236
214,Devin Ebanks,Career,5.9,5.9,9.8,.177
215,Jerome Jordan,Career,10.6,10.6,20.9,.260
216,Gani Lawal,Career,5.3,5.3,10.4,.173
217,Solomon Alabi,Career,4.5,4.5,8.3,.195
218,Luke Harangody,Career,9.6,9.6,19.4,.206
219,Willie Warren,Career,1.4,1.4,6.3,.139
220,Jeremy Evans,Career,8.8,8.8,17.8,.226
221,Ryan Reid,Career,4.3,4.3,6.3,.099
222,Derrick Caracter,,1.8,1.8,3.4,.191
223,Kyrie Irving,Career,0.6,0.6,2.4,.320
224,Derrick Williams,Career,0.7,0.7,2.7,
225,Tristan Thompson,Career,3.0,3.0,13.0,.159
226,Brandon Knight,Career,1.8,1.8,5.3,.157
227,Kemba Walker,Career,6.4,6.4,17.9,.196
228,Jimmer Fredette,Career,6.2,6.2,23.0,.223
229,Klay Thompson,Career,5.5,5.5,13.4,.159
230,Alec Burks,Career,1.6,1.6,10.8,.206
231,Markieff Morris,Career,5.5,5.5,10.9,.208
232,Marcus Morris,Career,5.8,5.8,15.2,.232
233,Kawhi Leonard,Career,5.7,5.7,11.8,.211
234,Nikola Vučević,Career,5.5,5.5,12.0,.199
235,Iman Shumpert,Career,5.5,5.5,9.7,.135
236,Chris Singleton,Career,7.5,7.5,10.0,.145
237,Tobias Harris,Career,1.5,1.5,4.4,.177
238,Nolan Smith,Career,6.7,6.7,18.3,.190
239,Kenneth Faried,Career,12.4,12.4,24.3,.245
240,Reggie Jackson,Career,2.9,2.9,10.8,.156
241,MarShon Brooks,Career,2.6,2.6,11.0,.154
242,Jordan Hamilton,Career,1.5,1.5,3.3,.096
243,JaJuan Johnson,Career,11.5,11.5,21.8,.226
244,Norris Cole,Career,6.4,6.4,16.9,.165
245,Cory Joseph,Career,2.2,2.2,4.4,.152
246,Jimmy Butler,Career,4.7,4.7,15.9,.203
247,Justin Harper,Career,5.7,5.7,13.8,.176
248,Kyle Singler,Career,12.2,12.2,25.7,.210
249,Shelvin Mack,Career,5.9,5.9,13.8,.164
250,Tyler Honeycutt,Career,3.2,3.2,5.2,.111
251,Jordan Williams,Career,4.4,4.4,9.3,.197
252,Trey Thompkins,Career,4.7,4.7,10.2,.155
253,Chandler Parsons,Career,7.2,7.2,15.5,.157
254,Jon Leuer,Career,5.6,5.6,14.5,.207
255,Darius Morris,Career,2.4,2.4,6.2,.125
256,Malcolm Lee,Career,2.6,2.6,6.8,.107
257,Charles Jenkins,Career,6.2,6.2,20.2,.176
258,Josh Harrellson,Career,3.2,3.2,6.8,.182
259,Andrew Goudelock,Career,3.4,3.4,18.3,.160
260,Travis Leslie,Career,3.5,3.5,9.6,.163
261,Keith Benson,Career,6.9,6.9,19.7,.218
262,Josh Selby,Career,0.9,0.9,1.3,.098
263,Lavoy Allen,Career,9.7,9.7,19.2,.176
264,Vernon Macklin,,2.6,2.6,7.2,.164
265,DeAndre Liggins,Career,3.8,3.8,6.3,.114
266,Isaiah Thomas,Career,4.7,4.7,13.2,.165
267,Anthony Davis,Career,5.3,5.3,9.3,.100
268,Michael Kidd-Gilchrist,Career,2.6,2.6,6.0,.192
269,Bradley Beal,Career,2.1,2.1,5.7,.180
270,Dion Waiters,Career,2.7,2.7,7.1,.198
271,Harrison Barnes,Career,3.8,3.8,9.3,.170
272,Terrence Ross,Career,2.7,2.7,7.4,.176
273,Andre Drummond,Career,1.5,1.5,2.9,.121
274,Austin Rivers,Career,1.0,1.0,3.5,.124
275,Meyers Leonard,Career,2.2,2.2,4.8,.149
276,Jeremy Lamb,Career,2.9,2.9,9.9,.164
277,Kendall Marshall,Career,3.3,3.3,6.9,.132
278,John Henson,Career,6.7,6.7,10.7,.166
279,Maurice Harkless,Career,1.3,1.3,3.2,.109
280,Royce White,Career,2.0,2.0,4.1,.152
281,Tyler Zeller,Career,5.6,5.6,15.5,.231
282,Terrence Jones,Career,5.5,5.5,11.8,.204
283,Andrew Nicholson,Career,5.9,5.9,18.5,.202
284,Jared Sullinger,Career,5.9,5.9,16.2,.282
285,Fab Melo,Career,2.1,2.1,3.7,.135
286,John Jenkins,Career,3.0,3.0,15.5,.206
287,Jared Cunningham,Career,0.5,0.5,1.0,.081
288,Tony Wroten,Career,1.6,1.6,3.2,.120
289,Miles Plumlee,Career,5.0,5.0,9.1,.170
290,Arnett Moultrie,,1.4,1.4,5.0,.186
291,Perry Jones,Career,3.2,3.2,8.2,.162
292,Marquis Teague,Career,1.8,1.8,3.5,.108
293,Festus Ezeli,Career,4.1,4.1,8.5,.157
