,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,FNAME
775,14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,0.54,0.25,0.568,19.7,7.6,5.3,1.1,20.7,0.113,-0.5,3.4,John-Henson
776,15,PHI,Maurice Harkless,St. John's,10,621,14019,4259,2198,572,0.474,0.32,0.624,22.6,6.9,3.5,0.9,23,0.079,-0.8,4.1,Maurice-Harkless
777,16,HOU,Royce White,Iowa State,1,3,9,0,0,0,0,,,3,0,0,0,0,-0.121,-16.9,0,Royce-White
778,17,DAL,Tyler Zeller,UNC,8,414,7254,2873,1820,367,0.508,0.286,0.764,17.5,6.9,4.4,0.9,17.1,0.113,-2,0,Tyler-Zeller
779,18,HOU,Terrence Jones,Kentucky,6,234,5562,2431,1334,238,0.501,0.297,0.621,23.8,10.4,5.7,1,14.7,0.127,0.5,3.6,Terrence-Jones
780,19,ORL,Andrew Nicholson,St. Bonaventure,5,285,4080,1700,857,126,0.467,0.321,0.773,14.3,6,3,0.4,3.8,0.045,-3.6,-1.6,Andrew-Nicholson
782,21,BOS,Jared Sullinger,Ohio State,5,269,6532,2893,2006,477,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,-0.4,2.7,Jared-Sullinger
783,22,BOS,Fab Melo,Syracuse,1,6,36,7,3,0,0.5,,0.25,6,1.2,0.5,0,0,0.021,-7.6,-0.1,Fab-Melo
784,23,ATL,John Jenkins,Vanderbilt,6,171,2183,855,250,138,0.441,0.367,0.847,12.8,5,1.5,0.8,3,0.065,-1.9,0.1,John-Jenkins
785,24,CLE,Jared Cunningham,Oregon State,4,84,605,197,56,39,0.347,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,-5.7,-0.6,Jared-Cunningham
786,25,MEM,Tony Wroten,Washington,4,145,3076,1604,363,437,0.413,0.231,0.647,21.2,11.1,2.5,3,-1.3,-0.021,-3.4,-1.1,Tony-Wroten
787,26,IND,Miles Plumlee,Duke,7,346,5658,1697,1562,178,0.542,,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.9,0.2,Miles-Plumlee
788,27,MIA,Arnett Moultrie,Mississippi State,2,59,729,210,180,12,0.547,,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-2.8,-0.1,Arnett-Moultrie
789,28,OKC,Perry Jones,Baylor,3,143,1675,488,252,54,0.42,0.293,0.66,11.7,3.4,1.8,0.4,1.7,0.048,-3.5,-0.6,Perry-Jones
790,29,CHI,Marquis Teague,Kentucky,3,91,909,217,90,134,0.343,0.222,0.661,10,2.4,1,1.5,-0.9,-0.045,-6.5,-1,Marquis-Teague
791,30,GSW,Festus Ezeli,Vanderbilt,3,170,2394,712,725,63,0.513,,0.557,14.1,4.2,4.3,0.4,5.9,0.119,-2,0,Festus-Ezeli
794,31,CHA,Jeff Taylor,Vanderbilt,3,132,2566,807,263,107,0.409,0.319,0.665,19.4,6.1,2,0.8,1.3,0.024,-4.2,-1.5,Jeff-Taylor
796,33,CLE,Bernard James,Florida State,3,92,761,203,212,13,0.497,0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.8,0,Bernard-James
797,34,CLE,Jae Crowder,Marquette,11,753,18902,7180,3210,1209,0.418,0.348,0.778,25.1,9.5,4.3,1.6,41.3,0.105,0.3,11.1,Jae-Crowder
798,35,GSW,Draymond Green,Michigan State,11,758,21809,6577,5276,4233,0.449,0.314,0.712,28.8,8.7,7,5.6,57.4,0.126,2.5,24.7,Draymond-Green
799,36,SAC,Orlando Johnson,UC Santa Barbara,3,103,1112,329,180,69,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-2.4,-0.1,Orlando-Johnson
800,37,TOR,Quincy Acy,Baylor,7,337,5392,1642,1179,217,0.444,0.35,0.759,16,4.9,3.5,0.6,8.7,0.078,-2,-0.1,Quincy-Acy
801,38,DEN,Quincy Miller,Baylor,3,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-3.9,-0.5,Quincy-Miller
802,39,DET,Khris Middleton,Texas A&M,11,684,21493,11633,3306,2624,0.457,0.388,0.882,31.4,17,4.8,3.8,52.5,0.117,0.7,14.9,Khris-Middleton
803,40,POR,Will Barton,Memphis,11,679,17116,7625,2792,1817,0.43,0.355,0.787,25.2,11.2,4.1,2.7,26.5,0.074,-0.4,6.9,Will-Barton
804,41,POR,Tyshawn Taylor,Kansas,2,61,491,174,33,57,0.354,0.36,0.684,8,2.9,0.5,0.9,-0.9,-0.088,-8.1,-0.8,Tyshawn-Taylor
805,42,MIL,Doron Lamb,Kentucky,2,100,1272,345,95,75,0.381,0.394,0.7,12.7,3.5,1,0.8,0.1,0.005,-5.8,-1.2,Doron-Lamb
806,43,ATL,Mike Scott,Virginia,9,555,9182,3736,1727,499,0.453,0.362,0.757,16.5,6.7,3.1,0.9,16.8,0.088,-1.7,0.6,Mike-Scott
807,44,DET,Kim English,Missouri,1,41,407,119,37,26,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2,Kim-English
808,45,PHI,Justin Hamilton,LSU,3,113,1961,687,403,91,0.464,0.309,0.798,17.4,6.1,3.6,0.8,3.7,0.091,-0.9,0.5,Justin-Hamilton
809,46,NOH,Darius Miller,Kentucky,6,271,5358,1597,447,367,0.419,0.383,0.84,19.8,5.9,1.6,1.4,6.5,0.059,-2.3,-0.4,Darius-Miller
810,47,UTA,Kevin Murphy,Tennessee Technological University,1,17,52,15,4,2,0.25,0.2,,3.1,0.9,0.2,0.1,-0.3,-0.272,-16.8,-0.2,Kevin-Murphy
812,49,ORL,Kyle O'Quinn,Norfolk State,8,472,6714,2568,2166,643,0.517,0.218,0.74,14.2,5.4,4.6,1.4,17.8,0.128,0.9,5,Kyle-O'Quinn
814,51,BOS,Kris Joseph,Syracuse,1,10,54,9,7,1,0.143,0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-9.9,-0.1,Kris-Joseph
818,55,DAL,Darius Johnson-Odom,Marquette,2,7,21,0,6,2,0,0,0,3,0,0.9,0.3,-0.3,-0.597,-25.5,-0.1,Darius-Johnson-Odom
821,58,MIN,Robbie Hummel,Purdue,2,98,1397,379,266,50,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-3.1,-0.4,Robbie-Hummel
822,59,SAS,Marcus Denmon,Missouri,,,,,,,,,,,,,,,,,,Marcus-Denmon
823,60,LAL,Robert Sacre,Gonzaga,4,189,2745,787,593,126,0.436,0,0.671,14.5,4.2,3.1,0.7,2.4,0.042,-4,-1.4,Robert-Sacre
826,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-4.8,-1.3,Anthony-Bennett
827,2,ORL,Victor Oladipo,Indiana,10,504,16247,8503,2245,1970,0.436,0.347,0.788,32.2,16.9,4.5,3.9,25.6,0.076,0.7,11,Victor-Oladipo
828,3,WAS,Otto Porter Jr.,Georgetown,10,512,13226,5380,2570,775,0.478,0.397,0.797,25.8,10.5,5,1.5,36.5,0.132,1.8,12.6,Otto-Porter Jr.
829,4,CHA,Cody Zeller,Indiana,10,509,11190,4300,3013,701,0.522,0.218,0.73,22,8.4,5.9,1.4,32.7,0.14,-0.6,4,Cody-Zeller
830,5,PHO,Alex Len,Maryland,10,596,10930,4414,3401,501,0.507,0.327,0.683,18.3,7.4,5.7,0.8,21.9,0.096,-1.9,0.2,Alex-Len
831,6,NOH,Nerlens Noel,Kentucky,9,467,10281,3338,2835,501,0.546,0.2,0.655,22,7.1,6.1,1.1,28.3,0.132,0.9,7.4,Nerlens-Noel
832,7,SAC,Ben McLemore,Kansas,9,556,12534,5015,1269,563,0.414,0.363,0.78,22.5,9,2.3,1,9,0.035,-3.1,-3.4,Ben-McLemore
833,8,DET,Kentavious Caldwell-Pope,Georgia,10,759,22355,8733,2356,1333,0.424,0.365,0.814,29.5,11.5,3.1,1.8,39.1,0.084,-0.8,6.6,Kentavious-Caldwell-Pope
834,9,MIN,Trey Burke,Michigan,9,498,10401,4792,878,1522,0.41,0.345,0.81,20.9,9.6,1.8,3.1,12.9,0.06,-1.3,1.7,Trey-Burke
835,10,POR,CJ McCollum,Lehigh,10,665,21273,12909,2369,2473,0.453,0.395,0.804,32,19.4,3.6,3.7,44.6,0.101,1.3,17.5,CJ-McCollum
836,11,PHI,Michael Carter-Williams,Syracuse,9,395,9942,4040,1718,1708,0.402,0.256,0.705,25.2,10.2,4.3,4.3,6.6,0.032,-1.2,1.8,Michael-Carter-Williams
837,12,OKC,Steven Adams,Pitt,10,706,18944,6518,5788,1079,0.587,0.067,0.536,26.8,9.2,8.2,1.5,59.3,0.15,0.5,12.1,Steven-Adams
838,13,DAL,Kelly Olynyk,Gonzaga,10,678,15350,6993,3507,1500,0.478,0.368,0.794,22.6,10.3,5.2,2.2,39.6,0.124,0.9,11,Kelly-Olynyk
839,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-2,0,Shabazz-Muhammad
843,18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,0.422,0.336,0.777,19.1,5.5,1.9,2.9,4.4,0.044,-2.4,-0.6,Shane-Larkin
845,20,CHI,Tony Snell,New Mexico,9,601,13093,3672,1371,669,0.431,0.394,0.846,21.8,6.1,2.3,1.1,18.5,0.068,-2,-0.1,Tony-Snell
846,21,UTA,Gorgui Dieng,Louisville,10,628,12625,4591,3534,837,0.496,0.355,0.791,20.1,7.3,5.6,1.3,30.7,0.117,0.2,7.1,Gorgui-Dieng
847,22,BRK,Mason Plumlee,Duke,10,740,16823,6341,5078,1856,0.595,0.049,0.567,22.7,8.6,6.9,2.5,52.1,0.149,1.4,14.4,Mason-Plumlee
848,23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,0.388,0.331,0.797,21.5,5.5,3.1,1.5,11.9,0.059,-2.1,-0.3,Solomon-Hill
849,24,NYK,Tim Hardaway Jr.,Michigan,10,657,17989,9168,1901,1224,0.42,0.361,0.808,27.4,14,2.9,1.9,28.1,0.075,-0.9,5,Tim-Hardaway Jr.
850,25,LAC,Reggie Bullock,UNC,10,512,12139,3943,1378,632,0.425,0.384,0.827,23.7,7.7,2.7,1.2,20.8,0.082,-1.1,2.6,Reggie-Bullock
851,26,MIN,Andre Roberson,Colorado,7,307,6801,1382,1230,265,0.473,0.253,0.468,22.2,4.5,4,0.9,12.6,0.089,-0.6,2.3,Andre-Roberson
854,29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,0.429,0.236,0.7,14.5,6.3,2,1.2,1.1,0.022,-3,-0.6,Archie-Goodwin
858,31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,0.425,0.387,0.831,24,9.1,2.8,1.1,13.7,0.072,-1.6,0.9,Allen-Crabbe
860,33,CLE,Carrick Felix,Arizona State,1,7,38,19,6,4,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0,0.057,-3.4,0,Carrick-Felix
861,34,HOU,Isaiah Canaan,Murray State,6,235,4799,1913,438,454,0.371,0.351,0.836,20.4,8.1,1.9,1.9,4.3,0.043,-2.4,-0.5,Isaiah-Canaan
862,35,PHI,Glen Rice Jr.,Georgia Tech,2,16,152,43,24,9,0.269,0.25,0.692,9.5,2.7,1.5,0.6,-0.2,-0.065,-6.6,-0.2,Glen-Rice Jr.
863,36,SAC,Ray McCallum,Detroit Mercy,3,154,2808,920,306,368,0.408,0.335,0.711,18.2,6,2,2.4,2.1,0.035,-2.6,-0.4,Ray-McCallum
864,37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,0.417,1,0.579,3.8,1,1.2,0.1,0.2,0.151,0.4,0,Tony-Mitchell
865,38,WAS,Nate Wolters,South Dakota State,3,84,1575,461,185,209,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.028,-2.6,-0.2,Nate-Wolters
866,39,POR,Jeff Withey,Kansas,5,206,2072,666,518,64,0.525,0.143,0.716,10.1,3.2,2.5,0.3,6.8,0.157,0.5,1.3,Jeff-Withey
867,40,POR,Grant Jerrett,Arizona,1,8,51,16,9,3,0.269,0.067,1,6.4,2,1.1,0.4,-0.1,-0.128,-10.8,-0.1,Grant-Jerrett
868,41,MEM,Jamaal Franklin,San Diego State,2,24,174,42,25,9,0.415,0.462,1,7.3,1.8,1,0.4,0,-0.006,-5.9,-0.2,Jamaal-Franklin
869,42,PHI,Pierre Jackson,Baylor,1,8,84,35,9,19,0.333,0.273,0.857,10.5,4.4,1.1,2.4,0,0.021,-4.4,-0.1,Pierre-Jackson
870,43,MIL,Ricky Ledo,Providence,2,28,277,109,38,21,0.336,0.371,0.769,9.9,3.9,1.4,0.8,-0.6,-0.096,-7.6,-0.4,Ricky-Ledo
871,44,DAL,Mike Muscala,Bucknell,10,495,7639,3049,1574,428,0.457,0.379,0.838,15.4,6.2,3.2,0.9,19.1,0.12,0.2,4.2,Mike-Muscala
873,46,UTA,Erick Green,Virginia Tech,2,52,452,159,37,42,0.377,0.288,0.857,8.7,3.1,0.7,0.8,0.1,0.011,-4,-0.2,Erick-Green
875,48,LAL,Ryan Kelly,Duke,4,163,3125,981,504,215,0.378,0.316,0.797,19.2,6,3.1,1.3,3,0.046,-2.6,-0.5,Ryan-Kelly
876,49,CHI,Erik Murphy,Florida,1,24,62,6,8,2,0.231,0,,2.6,0.3,0.3,0.1,-0.1,-0.055,-8.6,-0.1,Erik-Murphy
877,50,ATL,James Ennis III,Cal State Long Beach,8,395,8022,2629,1306,373,0.457,0.36,0.797,20.3,6.7,3.3,0.9,16.2,0.097,-1.5,0.9,James-Ennis III
878,51,ORL,Romero Osby,Oklahoma,,,,,,,,,,,,,,,,,,Romero-Osby
879,52,MIN,Lorenzo Brown,NC State,5,103,1185,293,151,183,0.364,0.17,0.707,11.5,2.8,1.5,1.8,-0.2,-0.007,-3.5,-0.5,Lorenzo-Brown
880,53,IND,Colton Iverson,Colorado State,,,,,,,,,,,,,,,,,,Colton-Iverson
881,54,WAS,Arsalan Kazemi,Oregon,,,,,,,,,,,,,,,,,,Arsalan-Kazemi
883,56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,0.316,0.28,0.733,9.3,2.3,0.6,1.4,-0.2,-0.032,-6.4,-0.2,Peyton-Siva
884,57,PHO,Alex Oriakhi,Missouri,,,,,,,,,,,,,,,,,,Alex-Oriakhi
885,58,SAS,Deshaun Thomas,Ohio State,,,,,,,,,,,,,,,,,,Deshaun-Thomas
890,1,CLE,Andrew Wiggins,Kansas,9,635,22125,12152,2835,1478,0.449,0.354,0.72,34.8,19.1,4.5,2.3,26.3,0.057,-1.5,3,Andrew-Wiggins
891,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743,27.5,14.1,5.5,2,13.8,0.078,-0.8,2.5,Jabari-Parker
892,3,PHI,Joel Embiid,Kansas,7,394,12524,10718,4402,1354,0.501,0.337,0.819,31.8,27.2,11.2,3.4,56,0.215,6.5,26.9,Joel-Embiid
893,4,ORL,Aaron Gordon,Arizona,9,596,17332,7996,3756,1516,0.472,0.325,0.686,29.1,13.4,6.3,2.5,35.6,0.098,0.2,9.4,Aaron-Gordon
895,6,BOS,Marcus Smart,Oklahoma State,9,581,17441,6141,2058,2700,0.386,0.323,0.777,30,10.6,3.5,4.6,33.3,0.092,-0.3,7.7,Marcus-Smart
896,7,LAL,Julius Randle,Kentucky,9,595,18882,11127,5581,2158,0.47,0.336,0.745,31.7,18.7,9.4,3.6,39.5,0.1,0.9,13.6,Julius-Randle
897,8,SAC,Nik Stauskas,Michigan,6,343,6701,2290,691,515,0.389,0.354,0.812,19.5,6.7,2,1.5,3.9,0.028,-3,-1.7,Nik-Stauskas
898,9,CHH,Noah Vonleh,Indiana,8,362,5854,1685,1790,264,0.459,0.307,0.692,16.2,4.7,4.9,0.7,9.4,0.077,-2.5,-0.7,Noah-Vonleh
899,10,PHI,Elfrid Payton,Louisiana,8,500,13383,5036,2007,2868,0.447,0.287,0.623,26.8,10.1,4,5.7,15.8,0.057,-0.9,3.7,Elfrid-Payton
900,11,DEN,Doug McDermott,Creighton,9,591,12326,5500,1375,587,0.474,0.41,0.813,20.9,9.3,2.3,1,20.2,0.079,-2,0,Doug-McDermott
902,13,MIN,Zach LaVine,UCLA,9,555,17987,11379,2221,2187,0.465,0.384,0.833,32.4,20.5,4,3.9,30.8,0.082,0.7,12.2,Zach-LaVine
903,14,PHO,T.J. Warren,NC State,8,374,10240,5456,1493,437,0.506,0.354,0.78,27.4,14.6,4,1.2,20.8,0.097,-0.3,4.2,T.J.-Warren
904,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.9,-1.4,Adreian-Payne
906,17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-3.4,-0.3,James-Young
907,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-3.4,-0.8,Tyler-Ennis
908,19,CHI,Gary Harris,Michigan State,9,516,14657,5923,1260,1024,0.448,0.37,0.815,28.4,11.5,2.4,2,23.1,0.076,-1.3,2.5,Gary-Harris
910,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-2.6,-0.1,Mitch-McGary
911,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,1.7,0.2,Jordan-Adams
912,23,UTA,Rodney Hood,Duke,8,448,10977,4656,1160,736,0.42,0.366,0.841,24.5,10.4,2.6,1.6,17.4,0.076,-1.2,2.2,Rodney-Hood
913,24,CHH,Shabazz Napier,UConn,6,345,5986,2433,657,849,0.397,0.345,0.815,17.4,7.1,1.9,2.5,8.1,0.065,-0.7,2,Shabazz-Napier
915,26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,0.343,0.295,0.81,18,6,2.4,0.5,0.9,0.021,-3.9,-1,P.J.-Hairston
917,28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1,0.007,-4.3,-0.2,C.J.-Wilcox
918,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,-3.5,-0.4,Josh-Huestis
919,30,SAS,Kyle Anderson,UCLA,9,574,12540,4013,2588,1502,0.481,0.345,0.715,21.8,7,4.5,2.6,32.1,0.123,1.9,12.2,Kyle-Anderson
923,32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,0.412,0.29,0.776,14.1,5.3,2.2,0.6,1.3,0.03,-2.8,-0.4,K.J.-McDaniels
924,33,CLE,Joe Harris,Virginia,9,488,12128,5146,1508,780,0.48,0.437,0.772,24.9,10.5,3.1,1.6,23.1,0.092,-0.6,4.2,Joe-Harris
925,34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.9,-0.8,Cleanthony-Early
